Request,Content,Resource,Request Requirements,Server Requirements,Response Requirements,Protocol Operation,Error Responses
Update,Body,Object-URL,MAY provide the `In-Progress` header,"If no `In-Progress` header is provided, MUST assume that it is `false`",MUST respond with a valid **Status Document** or a suitable error response,,
Update,Body,Object-URL,,,MUST include `ETag` header if implementing concurrency control,,
Update,Body,Object-URL,,,"MUST respond with a `200` if the request was accepted immediately, a `202` if the request was queued for processing, or raise an error.",,
Append,*,Object-URL,,,,POST Object-URL,
Append,Binary,Object-URL,,,"MUST respond with a `Location` header, containing the File-URL of the Original Deposit File",,
Append,Metadata,Object-URL,,"If accepting the new Metadata MUST add the Metadata to the item, and only treat this as an extension to existing Metadata.  The server MUST NOT overwrite or otherwise remove existing Metadata.",,,
Replace,*,Object-URL,,,,PUT Object-URL,
Replace,Binary,Object-URL,,"If accepting the new File, MUST remove all existing Files from the Object and replace with the new File.  The new File should be marked as an `originalDeposit`.  The server MUST also remove all Metadata, so the Metadata Resource contains no fields.",,,
Replace,Metadata,Object-URL,,"If accepting the new Metadata, MUST remove all existing Files from the Object, and MUST replace the existing Metadata with the new.",,,
Replace,By-Reference,Object-URL,,"If accepting the new By-Reference files, MUST remove all existing Files from the Object and replace with the By-Reference files.  The server MUST remove the existing Files immediately, even before the By-Reference files have dereferenced.  The new files MUST be marked as `originalDeposit`s.  The server MUST also remove all Metadata, so the Metadata Resource contains no fields.",,,
Replace,MD+BR,Object-URL,,"If accepting the new Metadata and By-Reference files, MUST remove all existing Files from the Object and replace with the By-Reference files.  The server MUST remove the existing Files immediately, even before the By-Reference files have dereferenced.  The server MUST also replace all existing Metadata with the new Metadata.",,,
Replace,Metadata,Metadata-URL,,If accepting the new Metadata MUST entirely replace the existing Metadata with the new.,,,
Replace,By-Reference,FileSet-URL,,"If accepting the new By-Reference Files, MUST replace the existing FileSet with the new files.  The server MUST remove all the old files immediately, even before the new By-Reference files have been dereferenced.  The new Files MUST be marked as `originalDeposit`s",,,
Replace,Binary File,FileSet-URL,,"If accepting the new File, MUST replace the existing FileSet with a single new File.  The File MUST be marked as an `originalDeposit`",,,
Replace,By-Reference,File-URL,,"If accepting the new By-Reference File, MUST replace the existing File.  The server MAY keep the previous file as an older version.  The new file MUST be marked as an `originalDeposit`",,,
Replace,Binary File,File-URL,,"If accepting the new File, MUST replace the existing File.  The server MAY keep the previous file as an older version.  The new File MUST be marked as an `originalDeposit`",,,
Append,By-Reference,Object-URL,,"If accepting the request, MUST attach all the By-Reference files to the Object as `originalDeposit`s",,,
Append,MD+BR,Object-URL,,"If accepting the request, MUST attach all the By-Reference files to the Object as `originalDeposit`s, and MUST add the Metadata to the item, and only treat this as an extension to existing Metadata.  The server MUST NOT overwrite or otherwise remove existing Metadata.",,,
Append,Binary,Object-URL,,,,,
Replace,*,Metadata-URL,,,,PUT Metadata-URL,
Replace,*,FileSet-URL,,,,PUT FileSet-URL,
Replace,*,File-URL,,,,PUT File-URL,
Delete,*,*,,,"MUST respond with a `204` if the delete is successful, `202` if the delete is queued for processing, or raise an error",,
Delete,*,Object-URL,,,,DELETE Object-URL,
Delete,*,FileSet-URL,,,,DELETE FileSet-URL,
Delete,*,File-URL,,,,DELETE File-URL,
Delete,*,Metadata-URL,,,,DELETE Metadata-URL,
Delete,*,Temporary-URL,,,,DELETE Temporary-URL,
Complete,Empty Body,Object-URL,MUST provide the header `In-Progress: false`,MAY inject the content into any ingest workflows,MUST respond with a `204` or a suitable error,POST Object-URL,
Complete,Empty Body,Object-URL,MAY provide the `Content-Length` header with value `0`,,,,
Complete,Empty Body,Object-URL,MUST NOT include any body content,,,,
Append,Body,Temporary-URL,,"MUST reject the request if the segment is incorrect or unexpected: for example, all segments were already received, or the segment is a different size than expected.",MUST respond with a `204` or a suitable error,POST Temporary-URL,"If the provided segment is not the final segment and is not the size that the client had indicated on initialisation, MUST return `400` ({{anchor_link(""InvalidSegmentSize"")}})"
Append,File Segment,Temporary-URL,,"If all preconditions are met, MUST accept the file segment, and record the receipt of it",,,"If the Temporary-URL has expired, SHOULD return `410` ({{anchor_link(""SegmentedUploadTimedOut"")}}).  Servers may also return `404` and no further explanation."
Append,File Segment,Temporary-URL,,"MUST be prepared to accept file segments in any order, and in parallel",,,"If the segment was not expected, for example all the expected segments have already been sent, or a segment with this segment number has already been received, MUST return `400` ({{anchor_link(""UnexpectedSegment"")}})"
Append,File Segment,Temporary-URL,,"MUST be able to store the incoming file segments as they arrive, and then reconstitute them into a single file when all segments have been received.",,,
Retrieve,Empty Body,Temporary-URL,,,MUST respond with a `200` or a suitable error,GET Temporary-URL,
Retrieve,Empty Body,Temporary-URL,,,"If successful, MUST respond with a **Segmented File Upload Document** describing the current state of the upload.",,
