ID,Title,Description,Sources,Categories,In/Out Scope,,Key Features,Notes,How new spec handles this
UP-023,Repository migration,"Support the ability to migrate between repository platforms.  This may be from one version to another of a platform, or between two arbitrary platforms.",FDS - Use Case 8,"Protocol
Content Aware",In/Out,,"* Bulk deposits/updates
* Common package formats",See comments for UP-017,"We will define a BagIt format for lowest-common-denominator interoperability, which will enable a basic native migration strategy.

See also UP-017"
UP-024,Collection import,"Bulk import data, where the set of all deposits forms a collection",FDS - Use Case 8,Protocol,In,,* Collections,"This feels like quite a special case of deposit, which could be broken down into a number of components:

1. The creation of an item via a deposit operation that itself forms a collection

2. The subsequent deposit of further items into that collection.

There are a couple of ways to model that in SWORD, and each would be down to the preferences and behaviours of the repository.  For example, there are two obvious ways to approach:

A. The initial deposit creates an actual collection in the repository which is listed in the Service Document, and can then be a target for deposits just like any other collection

B. The initial deposit just creates an item, which is also a collection in the repository, and addition of content to that item is modelled by the repository as items within the collection.

In either case, the protocol probably doesn't need to change, it's only the behaviour of the repository which matters, so is probably an implementation issue only.

See also comments for UP-011.","No additions to the spec to support this pattern explicitly.  As per the Notes, clients/repositories may agree on a process using sword which has the desired effect, and this is an implementation decision not a protocol issue."
UP-025,Streaming content,Some sources will produce data streams which may be large and be deposited over a period of time.,DDS - Use Case Components,Protocol,Out,,"* Streaming content
* Large files
* File segments","We'd need to look into the technical requirements to support streaming, and what the best approach to use would be.  Then we'll know if this is a matter for the specification or just a matter for an implementation which allows a deposit of a file to be open and streamed for some period of time.  An initial review suggests that this is not something we would want to explicitly declare in the protocol.",No attempt to explicitly support
UP-026,Temporarily hosted content,"Some deposited content may disappear after a period of time, or after some event.",DDS - Use Case Components,"Protocol
Process Aware",In,,* Temporary hosting of content,See comments in UP-012,See UP-012
UP-027,Arbitrarily large files,Deposited files may be very large,"DDS - Use Case Components
SC - SWORD and Archivematica",Protocol,In,,"* Large files
* Deposit by reference
* File segments","We need to have the ability to handle arbitrarily large files at the protocol level.  Actually, large files on fast networks are not that problematic, and we've seen sword used for files of 20Gb used comfortably.  The problem is when networks are slower or suffer blips, particularly over the open web.  There are a couple of approaches that we can take:

1. Support deposit by reference, ensuring that the downloaded file can be resumed in the case of a network outage during download.  To take this approach, we need to answer the questions around by-reference deposit posed in UP-034

2. Support file segment deposit, so large files can be split at the binary level and send in packets.  A similar approach is used by, for example, DANS","For by-reference a number of  features are now supported:
1. by-reference size limit can be declared separately to the upload size limit
2. Support for by-reference deposit is declared in the service document
3. The sword metadata deposit format allows for zero or more by-reference files to be deposited
4. The status document allows the status of by-reference deposits to be tracked until they are fully dereferenced

For segmented deposit:
Use ContentDisposition to mark up a deposit into segments.  Start with a POST to Collection then continue to POST to Object, with suitable sequence id and number"
UP-028,Content-only deposit,Some deposits will not come with readily available metadata or any metadata at all,DDS - Use Case Components,Protocol,In,,* Minimum requirements,See comments on UP-019,No specific support required
UP-029,Identifiable individual depositor,Deposits may be made by users who can be identified by the repository system (e.g. via a user account),DDS - Use Case Components,Protocol,In,,* Authorisation and Authentication,"The main point here is that in some scenarios, the repository will want to have the depositing user to have an account on that system.  How does that user account get created?  That is probably outside the remit of sword.  We need to remember that increasingly repositories are not taking logins from individual users, and instead are often managed by intermediaries.",This will be down to the repositories to implement over whatever authentication protocol and approach they prefer
UP-030,Proxy depositor,Deposits may be made on behalf of users who may not be identifiable by the repository system (e.g. via a proxy user account),DDS - Use Case Components,Protocol,In,,* Authorisation and Authentication,"Like the other patterns around deposit on behalf of a user, there are a variety of issues to take into account.  Primarily trust relationships are used between the front-end and back-end systems.  As per UP-029, the repository may not be able to authenticate an individual in all cases, and in other cases it may wish to have a say.","It needs to be up to the repository to decide whether to support mediation, and how to authorise one user to deposit on behalf of another"
UP-031,Relationships to other objects,"It should be possible to create relationships between objects stored in one system, and objects stored in another system, and to update those relationships",DDS - Use Case Components,"Protocol
Content Aware",In/Out,,"* Linked data
* Metadata",For the most part we expect relationships to other objects to be done via URLs in the metadata.  SWORD reports a number of urls via the Statement that clients could use to reference the item.  It's not clear that this should be part of the protocol in any formal sense.,"There are URIs for just about everything coming from sword, which should be sufficient to satisfy this requirement.  Explicit support for URLs in the metadata is a repository implementation decision."
UP-032,Select deposit collection,"It must be possible for the depositor to select an appropriate deposit target, both the repository itself and the collection within the repository",DDS - Use Case Components,Protocol,In,,"* Collections
* Browsing","SWORD already has a mechanism for exposing collections, even heirarchical ones.  This seems sufficient, and arguably may be more complex than is required.","Use the Service Document, which supports hierarchical collections."
UP-033,Send individual files,"Send individual files (perhaps multiple, one after the other) to be attached to an item in the repository",SC - SWORD and Archivematica,Protocol,In,,* Individual files,"Similar to UP-013, and same comments apply","To create an item with a single file: Post to Collection URI without package format, or with package format Binary

To add a single file to an existing item: POST to Content URI"
UP-034,Send files by reference,"Send one or more links to files to be ingested and attached to an item.  Some links may not need to be ingested, a reference may just need to be created",SC - SWORD and Archivematica,"Protocol
",In,,* Deposit by reference,"See comments on UP-027.  The main questions around deposit by reference are:

1. What requirements are placed on the service providing the reference?  e.g. does it support resumable downloads?
2. How long will the reference persist?
3. Should the reference be downloaded, or should the repository just record the URL for use by end-users?
4. Are there file size limits on deposit by reference?
5. Should we harmonise the semantics with ResourceSync if appropriate?
6. Do we need to tell the reference server when we have finished with the file?","A number of by-reference features are now supported:
1. by-reference size limit can be declared separately to the upload size limit (sword:maxByReferenceSize)
2. Support for by-reference deposit is declared in the service document
3. The sword metadata deposit format allows for zero or more by-reference files to be deposited
4. The status document allows the status of by-reference deposits to be tracked until they are fully dereferenced

By reference deposit also supports a flag to indicate the repository should or should not download the reference.

By reference deposit provides a TTL field which contains a timestamp indicating how long the resource will be available for

The Status document can indicate if a download has failed, and describe the reasons"
UP-035,Callback mechanism,Be able to register a callback to be called when processing of a deposit is complete,SC - SWORD and Archivematica,"Protocol
",Out,,"* Callbacks
* Workflow","A callback would allow a remote system to trigger behaviours based on events happening to the item in the repository.  There are benefits to this for the repository, such as not having to serve repeated poll requests for information, but there are also costs such as having to integrate the callback mechanisms into workflows, and to handle failed requests to the callback url.

This seems like too great a burden on the repository to support.  Do not propose to investigate this any further.",Not supported
UP-036,Accept deposits for processing,"Not all deposits will be ""live"" in the target repository immediately.  There may be asynchronous processing tasks to take place, such as unpacking, format migrations, etc.",SC - SWORD and Archivematica,Protocol,In,,"* In Progress items
* Asynchronous processing","For large file deposits or other complex objects, it's possible that repositories may accept a deposit but not finish processing it during the synchronous deposit request.  To that end, we should adhere to the HTTP specification and support the 202 (Accepted) response formally in the protocol.","Repository may now respond with a 202 (Accepted)

The client may monitor the item's status with the sword:state element, to find out when the item has been processed"
UP-037,Access restrictions,Be able to specify detailed access restrictions to items and their contents,SC - SWORD and Archivematica,"Protocol
Content Aware",Out,,"* Access restrictions
* Embargo","Access restrictions could arguably be placed within the protocol.  This would apply constraints on the server implementation, which it may not be able to fulfil.  We would also need to choose a semantic framework for this, and determine to what level of complexity we support restrictions.

We may choose to adopt a fairly blunt instrument for broad use, such as the application of an open/closed status, which would be suitable for use in embargoing an item.  Attempts to provide fine-grained control over access to individual files would likely be too difficult.

Note that right now there's no reason that a particular client/server couldn't agree on a set of semantics between themselves for exchanging access restrictions in the metadata provided during deposit.

Review our options with regards to specifying access restrictions, and consider approaches from the finer-grained to the coarse-grained.  This would mean something which allows the caller to specify file-level (and metadata level?) access restrictions, with time-bounds, to something which is just open/closed status on the item as a whole.",Not explicitly supported
UP-038,Specify a valid object,"Some objects need to be validated as they are deposited, to ensure they have the correct metadata or files, or are appropriately organised to be ingested",SC - Interoperability for Repository Data Submission,"Protocol
Content Aware",In/Out,,"* Minimum requirements
* Validation","Some repositories may have minimum requirements for what can be deposited.  If this is variable across systems, this will be another barrier to interoperability.  It would be risky for sword to have an opinion about what a minimum requirement or valid object would be, this should be down to the repositories to specify.  Most likely the best way to do this would be through a package/metadata profile identifier which the repository declares to support, which may come with minimum requirements.

If we can build a registry of package (and metadata profile) identifiers, we can specify validation of the content there, keeping it out of the core of the protocol but giving it somewhere to sit.  We would need to investigate the creation of a package registry, and figure out how to do heirarchical formats (e.g. DSpace METS SIP is a special case of a METS package, which is a special case of a plain zip file)",Server should use an error document and the sword:log field for this information
UP-039,Repository sword profile,"Repositories should be able to expose their level of protocol support, including operations, metadata support, content type support, and other factors",SC - Interoperability for Repository Data Submission,Protocol,In,,* Sword meta-information,"SWORD already has a mechanism for this, and we just need to make sure it stays up to date with changes we make in the next version which represent variable attributes a server may expose.",Every aspect of the protocol can now be determined through the service document through feature flags.  Actions then available on individual deposited items are also available as flags in the status document
UP-040,Incremental transfer,"Be able to send chunks of a data package bit by bit, until the full data package has been transferred",SC - Implementations,Protocol,In,,* File segments,"See comments on UP-027, and in particular point (2)",See UP-027
UP-041,Metadata then Content,"Metadata is deposited first and then content is deposited as a file or a package in a subsequent deposit.  Usually this is done in rapid succession for systems where the metadata is readily available, and no special content packaging is required.",,Protocol,In,,* In Progress items,"In SWORDv2 there is a multipart deposit option using the Atom Multipart extension, which has turned out to be poorly supported in the web technology stacks.  It has therefore not been used widely, and is poorly implemented.  As a work-around this pattern has emerged.  It is well supported by the other sword operations, and the main thing we need to do is remove the multipart support for clarity.","Initial metadata deposit comes with In-Progress header.

Subsequent deposits can provide additional content.

The sword:actions element of the status document tells the client which operations are still available to them, even if they did not pass In-Progress."
